회원ID,나이,성별,거주지,테니스_경험_연수,주_이용_시간대,선호_코치_스타일,선호_레슨_방식,경기_빈도,최근_경기_성적,선호_훈련_목표,선호_테니스_센터_유형,모바일_앱_사용_빈도,소비_성향
M001,42,F,서울 서초구,1-3년,평일 오전,미입력,1:1,월 1회 미만,3승 3패,취미 유지,시설 완비,주 1-2회,10만 원 미만
M002,36,F,서울 송파구,0-1년,평일 오후,동기부여 중심,1:1,월 2-3회,,대회 준비,접근성,주 1회 미만,10만 원 미만
M003,29,M,경기 용인시,1-3년,주말 저녁,엄격한 피드백,1:1,월 1회 미만,3승 2패,실력 향상,실내 코트,주 1-2회,10-30만 원
M004,25,F,서울 강남구,0-1년,평일 오후,동기부여 중심,온라인,월 2-3회,2승 1패,대회 준비,야외 코트,주 1-2회,30만 원 이상
M005,33,F,부산 남구,0-1년,평일 오전,미입력,1:1,주 1회,1승 2패,실력 향상,야외 코트,주 1-2회,10만 원 미만
M006,18,M,서울 강남구,5년 이상,평일 저녁,엄격한 피드백,1:1,월 1회 미만,,취미 유지,접근성,주 1회 미만,10만 원 미만
M007,30,F,제주 서귀포시,0-1년,주말 저녁,엄격한 피드백,1:1,주 2회,2승 0패,실력 향상,야외 코트,주 1-2회,10만 원 미만
M008,41,F,광주 북구,1-3년,주말 오전,엄격한 피드백,그룹,월 2-3회,,대회 준비,접근성,매일,10-30만 원
M009,31,M,서울 송파구,3-5년,주말 오전,엄격한 피드백,온라인,월 2-3회,2승 1패,실력 향상,야외 코트,주 1-2회,10-30만 원
M010,32,F,서울 마포구,3-5년,주말 오전,친절한 지도,1:1,월 1회 미만,,실력 향상,실내 코트,미사용,10만 원 미만
M011,35,M,서울 영등포구,1-3년,주말 저녁,엄격한 피드백,1:1,주 2회,1승 2패,취미 유지,야외 코트,주 1회 미만,10-30만 원
M012,27,M,부산 해운대구,1-3년,평일 오전,미입력,그룹,월 1회 미만,,대회 준비,실내 코트,주 1회 미만,10-30만 원
M013,35,F,대구 수성구,3-5년,주말 저녁,동기부여 중심,그룹,주 1회,0승 2패,대회 준비,실내 코트,주 1회 미만,10-30만 원
M014,36,M,서울 강남구,3-5년,주말 저녁,동기부여 중심,그룹,주 2회,,실력 향상,접근성,미사용,10-30만 원
M015,21,F,부산 해운대구,3-5년,평일 오후,친절한 지도,온라인,주 1회,0승 1패,대회 준비,야외 코트,매일,30만 원 이상
M016,18,기타,대전 서구,1-3년,평일 오후,미입력,그룹,주 2회,3승 0패,체력 증진,접근성,주 1회 미만,30만 원 이상
M017,31,M,대구 수성구,0-1년,주말 오전,친절한 지도,1:1,주 2회,0승 1패,체력 증진,접근성,주 1-2회,10-30만 원
M018,39,F,광주 광산구,3-5년,주말 오전,엄격한 피드백,그룹,월 2-3회,2승 2패,대회 준비,실내 코트,미사용,10만 원 미만
M019,33,M,경기 성남시,5년 이상,평일 오후,엄격한 피드백,온라인,월 1회 미만,2승 0패,체력 증진,실내 코트,미사용,30만 원 이상
M020,27,F,서울 강남구,0-1년,주말 오전,친절한 지도,1:1,월 1회 미만,1승 1패,대회 준비,접근성,미사용,10만 원 미만
M021,50,M,서울 강남구,0-1년,평일 오후,친절한 지도,1:1,주 2회,1승 1패,실력 향상,접근성,주 1-2회,30만 원 이상
M022,18,F,경기 용인시,1-3년,평일 오후,엄격한 피드백,그룹,주 1회,3승 3패,실력 향상,접근성,주 1-2회,10만 원 미만
M023,25,F,인천 연수구,0-1년,주말 저녁,엄격한 피드백,1:1,월 2-3회,,취미 유지,미입력,주 1-2회,10-30만 원
M024,31,F,부산 해운대구,1-3년,평일 오후,동기부여 중심,1:1,월 1회 미만,1승 1패,실력 향상,실내 코트,미사용,10만 원 미만
M025,37,F,서울 서초구,1-3년,주말 오전,친절한 지도,1:1,주 2회,2승 3패,대회 준비,실내 코트,매일,10만 원 미만
M026,46,M,서울 마포구,0-1년,평일 오후,동기부여 중심,그룹,월 1회 미만,3승 2패,취미 유지,실내 코트,주 1회 미만,10-30만 원
M027,32,F,광주 광산구,1-3년,주말 오전,친절한 지도,온라인,주 2회,2승 0패,취미 유지,시설 완비,매일,10만 원 미만
M028,23,F,경기 용인시,0-1년,평일 저녁,엄격한 피드백,1:1,월 1회 미만,2승 0패,취미 유지,실내 코트,매일,30만 원 이상
M029,25,F,서울 강남구,0-1년,평일 저녁,미입력,그룹,월 1회 미만,,대회 준비,미입력,매일,30만 원 이상
M030,18,F,부산 수영구,1-3년,주말 오전,친절한 지도,1:1,월 1회 미만,3승 2패,취미 유지,시설 완비,주 1-2회,30만 원 이상
M031,27,F,부산 해운대구,1-3년,평일 저녁,미입력,온라인,주 1회,0승 1패,체력 증진,접근성,주 1-2회,10-30만 원
M032,18,M,인천 남동구,1-3년,평일 저녁,동기부여 중심,1:1,월 2-3회,3승 1패,취미 유지,미입력,매일,30만 원 이상
M033,29,M,서울 송파구,3-5년,평일 오전,친절한 지도,온라인,주 2회,3승 0패,대회 준비,미입력,주 1회 미만,30만 원 이상
M034,37,M,인천 연수구,1-3년,주말 저녁,친절한 지도,그룹,주 1회,,대회 준비,시설 완비,주 1-2회,10만 원 미만
M035,21,F,대전 유성구,1-3년,평일 오전,동기부여 중심,1:1,주 1회,,취미 유지,시설 완비,미사용,30만 원 이상
M036,19,M,부산 남구,0-1년,평일 저녁,엄격한 피드백,온라인,월 2-3회,,체력 증진,미입력,매일,30만 원 이상
M037,28,F,부산 해운대구,0-1년,주말 오전,엄격한 피드백,1:1,주 2회,3승 1패,체력 증진,접근성,주 1회 미만,10-30만 원
M038,49,M,대구 수성구,3-5년,주말 저녁,엄격한 피드백,그룹,주 1회,1승 3패,취미 유지,실내 코트,주 1회 미만,10-30만 원
M039,21,M,경기 성남시,0-1년,평일 오전,친절한 지도,온라인,월 2-3회,0승 0패,대회 준비,접근성,매일,10-30만 원
M040,28,F,인천 남동구,5년 이상,평일 저녁,동기부여 중심,1:1,월 2-3회,1승 3패,체력 증진,접근성,주 1-2회,10-30만 원
M041,40,기타,부산 해운대구,5년 이상,평일 저녁,동기부여 중심,그룹,월 2-3회,1승 3패,대회 준비,실내 코트,주 1회 미만,10만 원 미만
M042,33,F,서울 마포구,5년 이상,주말 저녁,엄격한 피드백,1:1,주 2회,1승 0패,대회 준비,실내 코트,미사용,10만 원 미만
M043,18,F,서울 마포구,5년 이상,주말 저녁,친절한 지도,그룹,주 2회,3승 0패,체력 증진,미입력,미사용,30만 원 이상
M044,36,F,부산 수영구,1-3년,평일 오후,친절한 지도,온라인,월 2-3회,3승 3패,체력 증진,실내 코트,미사용,10-30만 원
M045,41,F,대구 수성구,1-3년,평일 오전,엄격한 피드백,그룹,주 2회,,실력 향상,접근성,매일,10만 원 미만
M046,29,M,대전 서구,1-3년,평일 저녁,미입력,1:1,주 2회,,실력 향상,야외 코트,주 1-2회,10-30만 원
M047,31,M,대구 달서구,1-3년,주말 저녁,친절한 지도,1:1,월 2-3회,2승 1패,체력 증진,야외 코트,주 1-2회,10-30만 원
M048,35,F,인천 연수구,3-5년,평일 오전,미입력,온라인,주 2회,1승 2패,실력 향상,접근성,미사용,30만 원 이상
M049,26,F,대구 달서구,1-3년,평일 오후,미입력,그룹,주 1회,0승 0패,실력 향상,미입력,주 1-2회,30만 원 이상
M050,30,F,부산 남구,1-3년,평일 저녁,엄격한 피드백,그룹,주 1회,3승 3패,실력 향상,실내 코트,주 1-2회,30만 원 이상
M051,18,M,서울 마포구,1-3년,평일 저녁,엄격한 피드백,그룹,월 1회 미만,2승 1패,취미 유지,접근성,매일,10만 원 미만
M052,21,M,서울 서초구,5년 이상,주말 저녁,친절한 지도,1:1,주 1회,2승 3패,대회 준비,시설 완비,매일,30만 원 이상
M053,24,기타,부산 수영구,3-5년,주말 오전,미입력,1:1,주 1회,,취미 유지,야외 코트,미사용,10-30만 원
M054,21,M,광주 북구,3-5년,평일 오후,친절한 지도,그룹,주 1회,0승 2패,체력 증진,실내 코트,매일,30만 원 이상
M055,46,F,대구 수성구,3-5년,주말 오전,친절한 지도,그룹,월 1회 미만,,취미 유지,접근성,미사용,10-30만 원
M056,18,M,부산 남구,1-3년,평일 저녁,동기부여 중심,그룹,주 2회,,대회 준비,실내 코트,주 1회 미만,30만 원 이상
M057,35,M,부산 해운대구,1-3년,평일 오전,미입력,그룹,월 2-3회,,취미 유지,실내 코트,주 1-2회,10만 원 미만
M058,23,F,인천 연수구,3-5년,평일 오전,미입력,그룹,월 1회 미만,1승 2패,체력 증진,실내 코트,주 1-2회,10만 원 미만
M059,40,M,경기 용인시,3-5년,평일 저녁,엄격한 피드백,온라인,주 1회,1승 1패,체력 증진,실내 코트,매일,10만 원 미만
M060,39,F,서울 서초구,3-5년,평일 오전,동기부여 중심,그룹,월 1회 미만,,실력 향상,접근성,주 1회 미만,30만 원 이상
M061,37,F,서울 마포구,0-1년,평일 오전,엄격한 피드백,1:1,주 1회,2승 3패,체력 증진,미입력,주 1회 미만,10만 원 미만
M062,37,M,서울 마포구,3-5년,평일 오후,엄격한 피드백,온라인,주 1회,2승 2패,실력 향상,야외 코트,주 1회 미만,10-30만 원
M063,20,F,제주 서귀포시,1-3년,평일 오후,엄격한 피드백,1:1,주 1회,,체력 증진,미입력,매일,30만 원 이상
M064,18,F,서울 강남구,5년 이상,주말 오전,친절한 지도,온라인,주 2회,,대회 준비,접근성,매일,10만 원 미만
M065,44,M,광주 광산구,5년 이상,평일 오후,동기부여 중심,1:1,월 1회 미만,1승 1패,대회 준비,실내 코트,주 1회 미만,10-30만 원
M066,45,M,서울 영등포구,0-1년,주말 저녁,엄격한 피드백,그룹,주 2회,1승 0패,취미 유지,야외 코트,주 1회 미만,10-30만 원
M067,38,기타,광주 광산구,5년 이상,평일 저녁,엄격한 피드백,온라인,주 2회,1승 1패,실력 향상,시설 완비,매일,10만 원 미만
M068,20,M,광주 광산구,3-5년,평일 저녁,엄격한 피드백,그룹,월 1회 미만,1승 3패,취미 유지,야외 코트,주 1-2회,30만 원 이상
M069,31,M,서울 송파구,1-3년,주말 저녁,친절한 지도,그룹,주 1회,0승 0패,실력 향상,시설 완비,미사용,10-30만 원
M070,28,F,광주 광산구,0-1년,평일 오후,친절한 지도,온라인,주 1회,0승 1패,대회 준비,접근성,매일,10만 원 미만
M071,32,F,서울 강남구,3-5년,주말 오전,엄격한 피드백,1:1,월 1회 미만,,대회 준비,미입력,매일,30만 원 이상
M072,29,M,서울 강남구,1-3년,평일 오후,친절한 지도,온라인,주 2회,,취미 유지,시설 완비,주 1-2회,30만 원 이상
M073,25,F,광주 북구,3-5년,주말 저녁,동기부여 중심,온라인,월 1회 미만,3승 1패,실력 향상,시설 완비,주 1회 미만,10-30만 원
M074,39,M,경기 성남시,1-3년,주말 오전,친절한 지도,그룹,월 1회 미만,,실력 향상,시설 완비,매일,10-30만 원
M075,39,M,서울 송파구,1-3년,주말 오전,동기부여 중심,그룹,월 1회 미만,1승 0패,체력 증진,접근성,매일,10-30만 원
M076,34,F,서울 마포구,3-5년,평일 저녁,엄격한 피드백,1:1,주 2회,2승 3패,체력 증진,시설 완비,미사용,30만 원 이상
M077,26,M,대전 유성구,1-3년,평일 저녁,엄격한 피드백,온라인,월 1회 미만,3승 3패,취미 유지,야외 코트,주 1회 미만,10만 원 미만
M078,36,M,부산 수영구,3-5년,평일 오후,미입력,온라인,주 1회,1승 1패,취미 유지,실내 코트,주 1회 미만,10만 원 미만
M079,34,M,서울 강남구,5년 이상,주말 오전,엄격한 피드백,1:1,월 1회 미만,2승 2패,대회 준비,시설 완비,매일,10만 원 미만
M080,38,M,경기 용인시,0-1년,평일 저녁,친절한 지도,1:1,주 1회,,취미 유지,실내 코트,주 1-2회,10-30만 원
M081,30,M,제주 서귀포시,5년 이상,주말 오전,엄격한 피드백,그룹,주 1회,2승 3패,대회 준비,미입력,주 1-2회,30만 원 이상
M082,28,F,광주 북구,3-5년,주말 오전,동기부여 중심,그룹,주 1회,1승 0패,실력 향상,시설 완비,주 1-2회,10-30만 원
M083,42,기타,서울 송파구,1-3년,주말 오전,친절한 지도,온라인,월 1회 미만,,실력 향상,미입력,매일,10-30만 원
M084,32,F,서울 강남구,5년 이상,주말 오전,친절한 지도,온라인,월 1회 미만,,취미 유지,미입력,주 1-2회,10만 원 미만
M085,35,M,서울 마포구,1-3년,주말 오전,친절한 지도,1:1,주 1회,1승 1패,체력 증진,시설 완비,주 1-2회,10만 원 미만
M086,25,M,부산 남구,0-1년,평일 오후,미입력,그룹,주 1회,3승 0패,실력 향상,야외 코트,주 1회 미만,10만 원 미만
M087,41,M,부산 수영구,0-1년,평일 오후,미입력,그룹,월 2-3회,,체력 증진,실내 코트,주 1회 미만,30만 원 이상
M088,47,기타,부산 수영구,1-3년,평일 저녁,동기부여 중심,1:1,주 1회,0승 1패,대회 준비,미입력,매일,10만 원 미만
M089,20,F,대전 유성구,3-5년,평일 오후,동기부여 중심,1:1,주 1회,1승 3패,실력 향상,야외 코트,미사용,10-30만 원
M090,27,M,대전 유성구,3-5년,평일 오전,친절한 지도,1:1,월 1회 미만,,대회 준비,야외 코트,주 1회 미만,30만 원 이상
M091,22,M,서울 송파구,1-3년,평일 오전,친절한 지도,온라인,월 1회 미만,3승 3패,체력 증진,야외 코트,주 1회 미만,10만 원 미만
M092,31,F,서울 마포구,3-5년,주말 저녁,친절한 지도,그룹,월 1회 미만,1승 3패,실력 향상,실내 코트,매일,10만 원 미만
M093,18,F,서울 영등포구,3-5년,평일 오전,친절한 지도,그룹,주 2회,,실력 향상,실내 코트,미사용,10만 원 미만
M094,24,F,부산 해운대구,1-3년,주말 저녁,엄격한 피드백,온라인,주 1회,0승 0패,취미 유지,미입력,주 1회 미만,30만 원 이상
M095,29,F,대전 유성구,0-1년,평일 오전,친절한 지도,온라인,주 2회,2승 3패,체력 증진,야외 코트,주 1-2회,10만 원 미만
M096,39,M,광주 광산구,1-3년,주말 저녁,엄격한 피드백,1:1,주 1회,,실력 향상,실내 코트,주 1-2회,10-30만 원
M097,46,F,경기 성남시,5년 이상,평일 저녁,엄격한 피드백,온라인,월 2-3회,1승 2패,취미 유지,접근성,주 1-2회,10만 원 미만
M098,38,M,대전 유성구,5년 이상,주말 저녁,친절한 지도,그룹,주 2회,2승 2패,취미 유지,야외 코트,미사용,10-30만 원
M099,41,F,서울 마포구,5년 이상,평일 저녁,엄격한 피드백,1:1,월 2-3회,3승 3패,실력 향상,접근성,미사용,10-30만 원
M100,24,M,부산 해운대구,0-1년,주말 저녁,엄격한 피드백,1:1,주 1회,2승 0패,취미 유지,시설 완비,미사용,10만 원 미만
M101,31,F,인천 남동구,0-1년,평일 오전,엄격한 피드백,그룹,월 1회 미만,1승 0패,실력 향상,시설 완비,주 1-2회,10만 원 미만
M102,35,F,서울 마포구,1-3년,평일 오후,엄격한 피드백,온라인,월 2-3회,0승 2패,대회 준비,실내 코트,미사용,10-30만 원
M103,35,F,인천 남동구,1-3년,평일 오전,친절한 지도,1:1,주 1회,1승 2패,취미 유지,실내 코트,미사용,10만 원 미만
M104,20,F,인천 연수구,0-1년,평일 오후,미입력,1:1,월 2-3회,2승 1패,대회 준비,미입력,주 1회 미만,10-30만 원
M105,32,M,부산 남구,1-3년,평일 오전,엄격한 피드백,그룹,월 2-3회,,실력 향상,야외 코트,미사용,30만 원 이상
M106,39,M,인천 연수구,3-5년,평일 저녁,동기부여 중심,1:1,월 2-3회,3승 3패,실력 향상,실내 코트,미사용,10만 원 미만
M107,28,M,광주 북구,3-5년,평일 저녁,동기부여 중심,1:1,월 1회 미만,,대회 준비,접근성,매일,10-30만 원
M108,38,M,서울 서초구,3-5년,평일 저녁,친절한 지도,1:1,주 2회,1승 1패,취미 유지,접근성,주 1회 미만,10만 원 미만
M109,20,M,서울 강남구,3-5년,평일 저녁,엄격한 피드백,1:1,월 2-3회,,취미 유지,실내 코트,미사용,10-30만 원
M110,35,M,서울 강남구,3-5년,평일 오후,미입력,그룹,주 1회,2승 0패,대회 준비,미입력,주 1-2회,10-30만 원
M111,43,M,부산 남구,3-5년,평일 오후,동기부여 중심,그룹,주 2회,1승 1패,취미 유지,시설 완비,주 1회 미만,10만 원 미만
M112,26,F,대구 달서구,5년 이상,평일 오후,친절한 지도,1:1,주 2회,3승 3패,체력 증진,미입력,주 1-2회,10만 원 미만
M113,32,F,경기 용인시,1-3년,주말 오전,엄격한 피드백,온라인,월 2-3회,2승 3패,실력 향상,미입력,주 1-2회,30만 원 이상
M114,38,M,서울 서초구,0-1년,주말 오전,동기부여 중심,온라인,월 1회 미만,1승 3패,체력 증진,야외 코트,주 1-2회,10-30만 원
M115,18,F,인천 남동구,0-1년,주말 오전,동기부여 중심,그룹,월 1회 미만,3승 0패,취미 유지,야외 코트,미사용,10만 원 미만
M116,40,F,서울 마포구,0-1년,주말 오전,엄격한 피드백,그룹,월 2-3회,,취미 유지,야외 코트,주 1-2회,10-30만 원
M117,29,F,대구 수성구,0-1년,주말 저녁,친절한 지도,1:1,월 1회 미만,,실력 향상,접근성,주 1회 미만,10만 원 미만
M118,24,M,대전 서구,1-3년,평일 오전,미입력,1:1,월 2-3회,2승 0패,대회 준비,시설 완비,매일,10만 원 미만
M119,40,F,대전 유성구,1-3년,평일 오후,친절한 지도,그룹,주 1회,0승 0패,실력 향상,미입력,주 1회 미만,10-30만 원
M120,34,F,서울 송파구,0-1년,주말 오전,친절한 지도,온라인,주 2회,2승 3패,대회 준비,실내 코트,주 1회 미만,30만 원 이상
M121,28,F,서울 서초구,0-1년,평일 오후,엄격한 피드백,그룹,주 2회,,대회 준비,실내 코트,미사용,10-30만 원
M122,23,M,서울 서초구,5년 이상,평일 오후,엄격한 피드백,온라인,주 2회,,실력 향상,시설 완비,주 1회 미만,10-30만 원
M123,18,F,경기 성남시,1-3년,주말 오전,동기부여 중심,온라인,주 1회,2승 3패,실력 향상,야외 코트,주 1-2회,10만 원 미만
M124,23,기타,서울 강남구,1-3년,주말 저녁,엄격한 피드백,1:1,월 2-3회,1승 0패,취미 유지,실내 코트,주 1회 미만,10만 원 미만
M125,48,기타,인천 연수구,3-5년,주말 저녁,엄격한 피드백,그룹,주 2회,3승 3패,체력 증진,실내 코트,미사용,10-30만 원
M126,21,M,서울 서초구,3-5년,평일 오전,친절한 지도,1:1,월 1회 미만,,실력 향상,실내 코트,매일,10만 원 미만
M127,28,F,서울 송파구,5년 이상,주말 저녁,친절한 지도,1:1,주 2회,3승 0패,체력 증진,시설 완비,주 1-2회,10-30만 원
M128,44,M,인천 남동구,1-3년,주말 저녁,친절한 지도,1:1,월 2-3회,1승 1패,체력 증진,접근성,주 1회 미만,10만 원 미만
M129,18,F,서울 강남구,1-3년,평일 저녁,엄격한 피드백,그룹,주 1회,1승 2패,대회 준비,실내 코트,주 1-2회,10-30만 원
M130,30,M,서울 강남구,1-3년,주말 저녁,동기부여 중심,온라인,월 1회 미만,1승 2패,실력 향상,시설 완비,매일,10만 원 미만
M131,42,F,광주 광산구,0-1년,주말 오전,동기부여 중심,그룹,월 1회 미만,1승 2패,실력 향상,접근성,주 1-2회,10만 원 미만
M132,23,F,광주 북구,5년 이상,주말 저녁,친절한 지도,1:1,주 2회,0승 2패,실력 향상,실내 코트,주 1회 미만,10-30만 원
M133,35,M,인천 남동구,1-3년,주말 오전,엄격한 피드백,그룹,주 1회,3승 3패,취미 유지,미입력,미사용,10만 원 미만
M134,38,M,대전 유성구,3-5년,평일 오전,친절한 지도,그룹,월 1회 미만,2승 0패,취미 유지,미입력,주 1회 미만,10만 원 미만
M135,28,M,서울 강남구,5년 이상,평일 저녁,엄격한 피드백,1:1,주 1회,,대회 준비,실내 코트,미사용,30만 원 이상
M136,56,F,서울 강남구,1-3년,주말 오전,엄격한 피드백,1:1,월 1회 미만,2승 3패,체력 증진,시설 완비,미사용,10-30만 원
M137,54,M,인천 연수구,0-1년,평일 오후,미입력,온라인,월 2-3회,3승 2패,대회 준비,야외 코트,미사용,30만 원 이상
M138,44,M,대구 수성구,1-3년,평일 저녁,엄격한 피드백,1:1,월 2-3회,0승 2패,실력 향상,접근성,주 1회 미만,10-30만 원
M139,33,F,경기 용인시,3-5년,평일 오후,동기부여 중심,1:1,주 2회,,체력 증진,미입력,매일,30만 원 이상
M140,35,M,부산 수영구,0-1년,주말 오전,친절한 지도,1:1,주 1회,3승 0패,체력 증진,실내 코트,주 1회 미만,10만 원 미만
M141,29,M,서울 강남구,5년 이상,평일 오전,동기부여 중심,그룹,주 1회,0승 0패,실력 향상,실내 코트,매일,10만 원 미만
M142,30,M,서울 마포구,0-1년,주말 오전,친절한 지도,1:1,월 2-3회,0승 1패,취미 유지,실내 코트,주 1회 미만,10-30만 원
M143,39,M,서울 강남구,0-1년,주말 오전,동기부여 중심,1:1,월 1회 미만,,실력 향상,시설 완비,주 1-2회,10-30만 원
M144,24,M,서울 마포구,0-1년,평일 오후,친절한 지도,1:1,월 1회 미만,1승 0패,체력 증진,야외 코트,미사용,10-30만 원
M145,35,M,강원 원주시,0-1년,주말 저녁,엄격한 피드백,온라인,주 2회,,체력 증진,실내 코트,주 1회 미만,10-30만 원
M146,23,F,서울 마포구,3-5년,주말 오전,엄격한 피드백,온라인,월 2-3회,3승 2패,취미 유지,접근성,매일,30만 원 이상
M147,18,M,서울 강남구,3-5년,평일 저녁,동기부여 중심,1:1,월 2-3회,0승 2패,취미 유지,접근성,매일,30만 원 이상
M148,18,F,대구 수성구,1-3년,주말 오전,엄격한 피드백,그룹,주 2회,,실력 향상,시설 완비,미사용,30만 원 이상
M149,43,기타,경기 용인시,5년 이상,평일 오후,동기부여 중심,1:1,월 2-3회,0승 1패,실력 향상,실내 코트,매일,10-30만 원
M150,36,F,대구 수성구,0-1년,주말 저녁,친절한 지도,1:1,주 1회,0승 3패,체력 증진,시설 완비,미사용,10만 원 미만
M151,33,F,대구 수성구,3-5년,평일 오전,엄격한 피드백,온라인,월 1회 미만,,대회 준비,미입력,미사용,30만 원 이상
M152,18,F,경기 용인시,5년 이상,주말 오전,동기부여 중심,그룹,월 2-3회,1승 0패,취미 유지,야외 코트,미사용,10만 원 미만
M153,31,M,대구 수성구,1-3년,주말 저녁,친절한 지도,온라인,주 1회,0승 3패,실력 향상,야외 코트,매일,10만 원 미만
M154,39,M,서울 마포구,1-3년,평일 오전,친절한 지도,그룹,월 2-3회,,대회 준비,실내 코트,주 1-2회,10만 원 미만
M155,32,M,서울 송파구,0-1년,평일 오전,친절한 지도,1:1,월 1회 미만,,취미 유지,시설 완비,매일,10만 원 미만
M156,39,M,부산 남구,1-3년,평일 오후,엄격한 피드백,그룹,월 2-3회,3승 1패,취미 유지,시설 완비,미사용,10만 원 미만
M157,28,F,서울 마포구,3-5년,평일 오전,엄격한 피드백,온라인,주 2회,1승 2패,실력 향상,야외 코트,미사용,10만 원 미만
M158,18,F,서울 서초구,5년 이상,평일 오전,친절한 지도,온라인,주 1회,2승 0패,대회 준비,시설 완비,주 1회 미만,10-30만 원
M159,33,M,서울 영등포구,0-1년,주말 오전,엄격한 피드백,1:1,월 1회 미만,1승 3패,체력 증진,실내 코트,미사용,30만 원 이상
M160,30,M,대구 달서구,3-5년,주말 저녁,미입력,1:1,월 2-3회,1승 1패,취미 유지,접근성,주 1회 미만,30만 원 이상
M161,18,F,대전 유성구,0-1년,주말 오전,동기부여 중심,1:1,주 2회,2승 1패,취미 유지,접근성,주 1-2회,10-30만 원
M162,36,F,부산 해운대구,5년 이상,평일 오전,친절한 지도,그룹,월 2-3회,1승 1패,대회 준비,접근성,매일,30만 원 이상
M163,40,M,대구 수성구,0-1년,주말 오전,친절한 지도,그룹,월 1회 미만,1승 3패,대회 준비,접근성,매일,10-30만 원
M164,47,F,서울 강남구,5년 이상,주말 저녁,동기부여 중심,1:1,월 1회 미만,3승 3패,실력 향상,실내 코트,매일,10-30만 원
M165,27,M,대전 서구,5년 이상,평일 저녁,친절한 지도,그룹,주 1회,0승 1패,체력 증진,야외 코트,미사용,10만 원 미만
