회원ID,나이,성별,거주지,테니스_경험_연수,주_이용_시간대,선호_코치_스타일,선호_레슨_방식,경기_빈도,최근_경기_성적,선호_훈련_목표,선호_테니스_센터_유형,모바일_앱_사용_빈도,소비_성향
M166,26,M,서울 강남구,0-1년,평일 저녁,친절한 지도,1:1,주 2회,0승 0패,실력 향상,시설 완비,매일,10만 원 미만
M167,23,F,광주 광산구,1-3년,평일 오전,엄격한 피드백,1:1,주 2회,0승 1패,체력 증진,미입력,주 1-2회,30만 원 이상
M168,37,F,대전 유성구,3-5년,평일 오후,친절한 지도,온라인,월 2-3회,3승 0패,체력 증진,접근성,주 1회 미만,10만 원 미만
M169,41,F,광주 북구,0-1년,주말 저녁,친절한 지도,1:1,주 2회,1승 0패,대회 준비,야외 코트,주 1-2회,10만 원 미만
M170,37,F,부산 수영구,3-5년,평일 오전,친절한 지도,1:1,월 1회 미만,3승 3패,취미 유지,실내 코트,매일,10만 원 미만
M171,45,F,서울 마포구,1-3년,평일 오후,엄격한 피드백,온라인,주 1회,,취미 유지,야외 코트,주 1회 미만,10만 원 미만
M172,19,M,서울 영등포구,0-1년,주말 저녁,미입력,1:1,주 1회,2승 1패,체력 증진,야외 코트,미사용,10만 원 미만
M173,37,F,서울 송파구,1-3년,평일 저녁,친절한 지도,그룹,월 2-3회,,체력 증진,시설 완비,미사용,30만 원 이상
M174,44,M,서울 강남구,5년 이상,평일 오전,동기부여 중심,1:1,월 1회 미만,3승 2패,취미 유지,실내 코트,미사용,30만 원 이상
M175,27,M,인천 연수구,3-5년,평일 오후,친절한 지도,1:1,월 1회 미만,,실력 향상,야외 코트,주 1-2회,30만 원 이상
M176,24,M,대구 수성구,3-5년,평일 오후,친절한 지도,온라인,월 1회 미만,1승 1패,취미 유지,실내 코트,주 1-2회,30만 원 이상
M177,20,M,서울 마포구,1-3년,평일 저녁,친절한 지도,1:1,월 1회 미만,3승 1패,체력 증진,접근성,매일,10만 원 미만
M178,48,F,부산 해운대구,0-1년,평일 오후,친절한 지도,그룹,월 2-3회,,실력 향상,접근성,매일,30만 원 이상
M179,32,M,서울 송파구,3-5년,평일 저녁,친절한 지도,그룹,주 2회,0승 0패,대회 준비,실내 코트,매일,10만 원 미만
M180,31,F,부산 남구,1-3년,주말 저녁,엄격한 피드백,온라인,월 1회 미만,3승 2패,체력 증진,야외 코트,주 1회 미만,30만 원 이상
M181,21,F,대전 서구,0-1년,주말 오전,동기부여 중심,그룹,주 1회,3승 3패,체력 증진,실내 코트,매일,30만 원 이상
M182,22,F,부산 남구,0-1년,평일 저녁,미입력,그룹,주 1회,,대회 준비,접근성,주 1회 미만,10-30만 원
M183,28,M,경기 성남시,1-3년,주말 오전,미입력,온라인,주 2회,3승 2패,취미 유지,시설 완비,주 1-2회,30만 원 이상
M184,26,F,서울 강남구,1-3년,평일 오후,친절한 지도,온라인,주 2회,0승 3패,대회 준비,시설 완비,미사용,30만 원 이상
M185,42,M,대전 유성구,3-5년,평일 오후,친절한 지도,그룹,주 1회,,대회 준비,접근성,주 1회 미만,10-30만 원
M186,33,M,대전 서구,1-3년,평일 저녁,동기부여 중심,온라인,월 2-3회,,대회 준비,야외 코트,주 1회 미만,10-30만 원
M187,44,F,대구 수성구,3-5년,평일 오전,동기부여 중심,온라인,월 1회 미만,2승 3패,실력 향상,야외 코트,매일,30만 원 이상
M188,24,F,서울 강남구,5년 이상,평일 오후,엄격한 피드백,그룹,주 2회,0승 0패,체력 증진,미입력,매일,10-30만 원
M189,21,F,서울 송파구,3-5년,주말 오전,친절한 지도,온라인,월 1회 미만,2승 2패,대회 준비,시설 완비,주 1-2회,10만 원 미만
M190,21,M,경기 용인시,0-1년,주말 저녁,친절한 지도,1:1,월 2-3회,3승 2패,취미 유지,접근성,미사용,30만 원 이상
M191,32,M,서울 송파구,3-5년,주말 오전,동기부여 중심,그룹,월 1회 미만,1승 1패,대회 준비,미입력,주 1-2회,10만 원 미만
M192,24,M,대전 유성구,0-1년,평일 저녁,엄격한 피드백,그룹,주 2회,3승 2패,실력 향상,시설 완비,주 1-2회,30만 원 이상
M193,34,F,서울 송파구,1-3년,주말 오전,동기부여 중심,온라인,주 1회,2승 1패,대회 준비,시설 완비,주 1회 미만,10-30만 원
M194,30,F,서울 송파구,5년 이상,평일 오후,미입력,온라인,주 1회,,실력 향상,시설 완비,매일,30만 원 이상
M195,22,F,서울 마포구,5년 이상,주말 오전,친절한 지도,1:1,주 2회,3승 2패,실력 향상,실내 코트,미사용,30만 원 이상
M196,29,M,대구 수성구,1-3년,주말 저녁,엄격한 피드백,그룹,월 2-3회,2승 3패,취미 유지,실내 코트,주 1회 미만,30만 원 이상
M197,25,F,경기 성남시,5년 이상,주말 오전,친절한 지도,1:1,월 1회 미만,,대회 준비,시설 완비,주 1-2회,10-30만 원
M198,34,M,인천 연수구,3-5년,주말 저녁,미입력,1:1,월 1회 미만,,취미 유지,접근성,매일,10만 원 미만
M199,36,F,광주 광산구,3-5년,주말 저녁,동기부여 중심,온라인,월 2-3회,1승 3패,대회 준비,실내 코트,주 1-2회,10-30만 원
M200,23,F,인천 남동구,3-5년,평일 저녁,친절한 지도,온라인,월 1회 미만,3승 2패,취미 유지,접근성,주 1-2회,10만 원 미만
M201,30,M,서울 서초구,5년 이상,평일 오전,친절한 지도,그룹,월 2-3회,1승 2패,실력 향상,접근성,주 1-2회,30만 원 이상
M202,30,M,대구 수성구,0-1년,주말 저녁,엄격한 피드백,1:1,주 1회,,취미 유지,실내 코트,주 1회 미만,10-30만 원
M203,42,F,경기 용인시,0-1년,주말 오전,엄격한 피드백,1:1,월 2-3회,3승 1패,대회 준비,야외 코트,주 1회 미만,10만 원 미만
M204,42,M,경기 용인시,0-1년,평일 오후,친절한 지도,그룹,월 1회 미만,2승 2패,실력 향상,시설 완비,주 1-2회,10-30만 원
M205,23,M,광주 북구,3-5년,평일 저녁,친절한 지도,1:1,주 2회,1승 2패,체력 증진,시설 완비,주 1-2회,10-30만 원
M206,34,F,인천 연수구,5년 이상,주말 오전,엄격한 피드백,1:1,월 1회 미만,2승 3패,대회 준비,야외 코트,주 1회 미만,30만 원 이상
M207,32,기타,서울 강남구,1-3년,평일 오전,미입력,온라인,월 1회 미만,1승 0패,실력 향상,시설 완비,매일,10-30만 원
M208,35,M,광주 북구,1-3년,평일 저녁,동기부여 중심,온라인,주 1회,3승 0패,체력 증진,실내 코트,주 1-2회,30만 원 이상
M209,25,F,부산 해운대구,0-1년,주말 오전,미입력,1:1,월 2-3회,2승 1패,취미 유지,실내 코트,미사용,10만 원 미만
M210,40,M,서울 서초구,5년 이상,주말 저녁,친절한 지도,1:1,월 2-3회,,취미 유지,야외 코트,주 1-2회,10-30만 원
M211,32,F,부산 해운대구,0-1년,평일 저녁,엄격한 피드백,그룹,월 1회 미만,1승 2패,체력 증진,미입력,미사용,10-30만 원
M212,22,F,서울 마포구,0-1년,주말 오전,동기부여 중심,온라인,주 1회,1승 1패,실력 향상,미입력,미사용,10-30만 원
M213,42,기타,서울 마포구,3-5년,평일 오후,친절한 지도,그룹,주 1회,,체력 증진,야외 코트,매일,10-30만 원
M214,23,M,인천 연수구,5년 이상,주말 오전,동기부여 중심,그룹,주 1회,3승 0패,실력 향상,실내 코트,주 1회 미만,10-30만 원
M215,33,M,인천 연수구,5년 이상,평일 저녁,미입력,그룹,월 1회 미만,,대회 준비,실내 코트,주 1회 미만,10만 원 미만
M216,37,M,대전 서구,1-3년,평일 저녁,엄격한 피드백,1:1,주 2회,,실력 향상,야외 코트,매일,10-30만 원
M217,29,M,대전 유성구,3-5년,평일 오전,친절한 지도,온라인,월 2-3회,,대회 준비,실내 코트,미사용,10만 원 미만
M218,21,F,부산 남구,1-3년,평일 오전,동기부여 중심,온라인,월 2-3회,3승 1패,대회 준비,야외 코트,매일,30만 원 이상
M219,18,F,대전 유성구,3-5년,평일 오전,엄격한 피드백,그룹,주 1회,1승 3패,취미 유지,미입력,매일,30만 원 이상
M220,36,F,서울 마포구,3-5년,평일 오후,엄격한 피드백,온라인,월 2-3회,,취미 유지,야외 코트,주 1-2회,10-30만 원
M221,35,M,경기 용인시,3-5년,주말 저녁,엄격한 피드백,온라인,월 1회 미만,0승 0패,체력 증진,실내 코트,주 1회 미만,10만 원 미만
M222,18,M,서울 송파구,1-3년,주말 오전,엄격한 피드백,온라인,월 2-3회,1승 2패,대회 준비,야외 코트,미사용,10-30만 원
M223,28,F,대구 달서구,1-3년,평일 오전,엄격한 피드백,그룹,월 1회 미만,0승 1패,실력 향상,접근성,주 1회 미만,10-30만 원
M224,35,M,서울 송파구,5년 이상,평일 저녁,동기부여 중심,1:1,주 1회,0승 1패,대회 준비,시설 완비,매일,10만 원 미만
M225,37,F,인천 남동구,1-3년,평일 오후,친절한 지도,그룹,월 1회 미만,3승 2패,체력 증진,실내 코트,주 1-2회,10만 원 미만
M226,18,F,서울 영등포구,0-1년,평일 저녁,엄격한 피드백,온라인,월 2-3회,3승 3패,체력 증진,시설 완비,주 1-2회,10만 원 미만
M227,41,F,서울 강남구,0-1년,평일 저녁,엄격한 피드백,그룹,주 2회,3승 2패,체력 증진,시설 완비,매일,30만 원 이상
M228,50,M,서울 서초구,0-1년,평일 오전,동기부여 중심,그룹,주 1회,,취미 유지,접근성,미사용,10-30만 원
M229,34,M,서울 영등포구,3-5년,평일 오전,친절한 지도,온라인,주 2회,,체력 증진,접근성,주 1-2회,30만 원 이상
M230,18,M,대전 서구,5년 이상,평일 저녁,동기부여 중심,그룹,주 1회,,대회 준비,접근성,주 1회 미만,10-30만 원
M231,21,M,대구 달서구,0-1년,평일 오전,친절한 지도,그룹,월 1회 미만,1승 2패,체력 증진,시설 완비,미사용,30만 원 이상
M232,36,M,대구 수성구,1-3년,평일 오후,미입력,온라인,월 2-3회,1승 2패,취미 유지,접근성,주 1-2회,10-30만 원
M233,32,F,서울 강남구,3-5년,평일 저녁,동기부여 중심,그룹,주 1회,1승 3패,취미 유지,접근성,매일,30만 원 이상
M234,24,M,서울 영등포구,1-3년,평일 오전,친절한 지도,그룹,월 2-3회,3승 0패,대회 준비,야외 코트,매일,30만 원 이상
M235,26,F,서울 영등포구,5년 이상,주말 저녁,미입력,그룹,월 2-3회,1승 3패,대회 준비,접근성,주 1회 미만,10-30만 원
M236,27,F,대전 유성구,5년 이상,주말 저녁,친절한 지도,그룹,월 2-3회,0승 3패,체력 증진,야외 코트,주 1-2회,30만 원 이상
M237,21,M,대구 달서구,5년 이상,주말 오전,엄격한 피드백,온라인,주 2회,2승 0패,취미 유지,접근성,주 1회 미만,30만 원 이상
M238,19,M,광주 북구,3-5년,주말 저녁,엄격한 피드백,온라인,월 2-3회,2승 1패,대회 준비,실내 코트,주 1회 미만,10-30만 원
M239,18,F,서울 마포구,3-5년,평일 오후,동기부여 중심,1:1,주 2회,,대회 준비,미입력,주 1-2회,10만 원 미만
M240,46,M,인천 연수구,5년 이상,평일 오전,동기부여 중심,그룹,월 1회 미만,,취미 유지,실내 코트,매일,10만 원 미만
M241,28,M,경기 성남시,3-5년,평일 오전,엄격한 피드백,온라인,주 2회,3승 0패,취미 유지,실내 코트,주 1회 미만,30만 원 이상
M242,21,F,서울 영등포구,5년 이상,평일 오후,미입력,온라인,주 1회,,실력 향상,시설 완비,매일,10-30만 원
M243,24,F,서울 영등포구,3-5년,평일 오후,동기부여 중심,온라인,월 2-3회,2승 1패,대회 준비,야외 코트,주 1-2회,30만 원 이상
M244,32,F,대전 유성구,0-1년,평일 저녁,동기부여 중심,그룹,월 2-3회,,실력 향상,접근성,매일,10-30만 원
M245,34,F,인천 연수구,5년 이상,주말 저녁,친절한 지도,1:1,월 2-3회,1승 0패,체력 증진,미입력,주 1회 미만,10만 원 미만
M246,27,F,서울 마포구,0-1년,평일 오전,미입력,온라인,주 1회,0승 2패,대회 준비,접근성,주 1회 미만,10-30만 원
M247,37,M,대구 달서구,0-1년,주말 오전,동기부여 중심,온라인,월 1회 미만,1승 0패,체력 증진,접근성,주 1-2회,10-30만 원
M248,31,F,서울 송파구,0-1년,평일 오후,미입력,온라인,월 2-3회,2승 2패,대회 준비,실내 코트,매일,10만 원 미만
M249,20,F,대전 서구,3-5년,주말 저녁,친절한 지도,1:1,월 1회 미만,,실력 향상,실내 코트,주 1-2회,30만 원 이상
M250,18,F,대구 수성구,1-3년,평일 저녁,엄격한 피드백,1:1,주 1회,,체력 증진,야외 코트,매일,10-30만 원
M251,35,M,부산 해운대구,5년 이상,평일 저녁,친절한 지도,온라인,주 1회,0승 1패,대회 준비,시설 완비,주 1회 미만,10-30만 원
M252,18,M,대구 수성구,1-3년,평일 오후,친절한 지도,온라인,주 2회,,취미 유지,실내 코트,매일,30만 원 이상
M253,27,M,서울 송파구,3-5년,평일 저녁,친절한 지도,1:1,주 2회,3승 3패,실력 향상,접근성,미사용,30만 원 이상
M254,22,M,서울 강남구,1-3년,평일 저녁,동기부여 중심,그룹,월 2-3회,,실력 향상,야외 코트,미사용,10-30만 원
M255,18,M,경기 용인시,5년 이상,평일 오후,친절한 지도,1:1,월 2-3회,,체력 증진,야외 코트,매일,10만 원 미만
M256,29,F,부산 수영구,1-3년,주말 저녁,친절한 지도,그룹,월 2-3회,2승 2패,취미 유지,실내 코트,미사용,10-30만 원
M257,26,F,부산 남구,3-5년,평일 오전,엄격한 피드백,1:1,월 2-3회,2승 2패,실력 향상,야외 코트,매일,30만 원 이상
M258,23,M,광주 광산구,3-5년,평일 오전,엄격한 피드백,1:1,월 2-3회,0승 3패,취미 유지,시설 완비,주 1회 미만,10-30만 원
M259,25,M,서울 영등포구,5년 이상,평일 오전,친절한 지도,그룹,월 1회 미만,2승 0패,취미 유지,미입력,주 1-2회,30만 원 이상
M260,34,F,경기 성남시,3-5년,주말 오전,친절한 지도,1:1,주 1회,,대회 준비,야외 코트,주 1회 미만,10만 원 미만
M261,31,F,경기 성남시,1-3년,평일 오전,친절한 지도,1:1,월 2-3회,,대회 준비,야외 코트,주 1회 미만,30만 원 이상
M262,18,M,부산 해운대구,1-3년,주말 저녁,동기부여 중심,그룹,주 2회,,실력 향상,접근성,미사용,10만 원 미만
M263,30,M,경기 성남시,1-3년,주말 오전,친절한 지도,1:1,월 2-3회,3승 1패,실력 향상,실내 코트,매일,10만 원 미만
M264,18,F,인천 남동구,5년 이상,평일 오후,친절한 지도,1:1,주 2회,2승 3패,대회 준비,실내 코트,미사용,10만 원 미만
M265,23,M,서울 마포구,0-1년,평일 오전,친절한 지도,온라인,주 2회,1승 1패,취미 유지,접근성,매일,10만 원 미만
M266,18,F,서울 송파구,0-1년,평일 오전,친절한 지도,그룹,월 1회 미만,,체력 증진,야외 코트,미사용,10만 원 미만
M267,30,F,인천 연수구,1-3년,주말 저녁,미입력,온라인,주 1회,0승 2패,취미 유지,야외 코트,주 1-2회,10-30만 원
M268,30,F,서울 송파구,1-3년,평일 오후,엄격한 피드백,그룹,월 2-3회,,취미 유지,접근성,주 1-2회,10-30만 원
M269,40,F,서울 송파구,1-3년,평일 저녁,미입력,1:1,주 1회,2승 0패,체력 증진,야외 코트,매일,30만 원 이상
M270,32,F,인천 남동구,5년 이상,평일 오후,동기부여 중심,온라인,월 2-3회,3승 1패,실력 향상,야외 코트,주 1-2회,10-30만 원
M271,35,M,강원 원주시,3-5년,평일 오전,친절한 지도,온라인,월 2-3회,,실력 향상,시설 완비,주 1회 미만,30만 원 이상
M272,22,F,강원 원주시,5년 이상,평일 오후,동기부여 중심,그룹,주 1회,3승 2패,실력 향상,실내 코트,매일,30만 원 이상
M273,32,F,서울 강남구,5년 이상,주말 오전,동기부여 중심,그룹,주 2회,3승 2패,체력 증진,접근성,주 1-2회,10만 원 미만
M274,21,M,서울 송파구,0-1년,평일 오전,엄격한 피드백,온라인,주 1회,0승 3패,대회 준비,접근성,매일,30만 원 이상
M275,33,F,서울 강남구,5년 이상,평일 오후,친절한 지도,그룹,주 1회,1승 1패,실력 향상,실내 코트,주 1회 미만,10만 원 미만
M276,32,M,서울 서초구,1-3년,평일 오후,동기부여 중심,1:1,월 1회 미만,2승 0패,대회 준비,실내 코트,미사용,30만 원 이상
M277,39,M,서울 영등포구,5년 이상,평일 오후,엄격한 피드백,온라인,주 1회,0승 2패,취미 유지,야외 코트,매일,30만 원 이상
M278,18,M,경기 성남시,3-5년,평일 오전,미입력,온라인,월 1회 미만,,체력 증진,시설 완비,주 1회 미만,10-30만 원
M279,20,F,인천 남동구,0-1년,평일 오후,동기부여 중심,그룹,월 2-3회,,실력 향상,미입력,미사용,10만 원 미만
M280,31,F,부산 수영구,0-1년,평일 저녁,엄격한 피드백,온라인,월 1회 미만,,체력 증진,실내 코트,주 1-2회,10-30만 원
M281,31,M,서울 서초구,3-5년,평일 오후,친절한 지도,그룹,월 1회 미만,,대회 준비,접근성,주 1-2회,10만 원 미만
M282,33,F,서울 송파구,1-3년,평일 오전,친절한 지도,1:1,월 2-3회,0승 1패,대회 준비,실내 코트,주 1-2회,10-30만 원
M283,35,F,대전 서구,5년 이상,평일 저녁,엄격한 피드백,1:1,월 1회 미만,3승 1패,체력 증진,실내 코트,미사용,10만 원 미만
M284,43,M,부산 해운대구,0-1년,평일 오후,친절한 지도,그룹,주 2회,0승 1패,체력 증진,야외 코트,미사용,30만 원 이상
M285,42,F,대구 수성구,3-5년,평일 오전,친절한 지도,온라인,주 1회,,체력 증진,시설 완비,주 1회 미만,30만 원 이상
M286,29,F,대구 수성구,0-1년,주말 오전,동기부여 중심,1:1,월 1회 미만,2승 2패,체력 증진,시설 완비,주 1회 미만,30만 원 이상
M287,50,F,서울 영등포구,1-3년,주말 오전,친절한 지도,온라인,주 2회,2승 2패,취미 유지,시설 완비,주 1회 미만,10-30만 원
M288,23,F,부산 해운대구,5년 이상,주말 저녁,미입력,1:1,월 2-3회,2승 0패,대회 준비,실내 코트,주 1회 미만,10만 원 미만
M289,35,기타,부산 해운대구,1-3년,평일 오후,동기부여 중심,1:1,월 1회 미만,1승 0패,체력 증진,실내 코트,매일,10-30만 원
M290,18,M,인천 남동구,3-5년,주말 오전,친절한 지도,온라인,월 1회 미만,,취미 유지,접근성,매일,10-30만 원
M291,33,F,대구 달서구,3-5년,평일 저녁,친절한 지도,1:1,월 2-3회,1승 3패,취미 유지,미입력,미사용,10만 원 미만
M292,39,F,서울 강남구,0-1년,평일 오후,친절한 지도,그룹,주 2회,,체력 증진,실내 코트,매일,10-30만 원
M293,29,F,대전 서구,5년 이상,주말 저녁,친절한 지도,1:1,월 1회 미만,,취미 유지,야외 코트,주 1회 미만,10-30만 원
M294,25,F,서울 마포구,1-3년,주말 저녁,미입력,그룹,월 1회 미만,3승 0패,체력 증진,시설 완비,주 1회 미만,10-30만 원
M295,22,F,대전 유성구,0-1년,평일 오전,친절한 지도,온라인,주 2회,2승 2패,대회 준비,실내 코트,주 1회 미만,30만 원 이상
M296,18,M,대구 달서구,5년 이상,평일 오후,엄격한 피드백,그룹,주 1회,0승 1패,실력 향상,야외 코트,미사용,30만 원 이상
M297,24,M,대전 서구,3-5년,평일 저녁,친절한 지도,그룹,주 2회,0승 2패,실력 향상,접근성,매일,10만 원 미만
M298,40,F,대구 달서구,0-1년,평일 오전,미입력,온라인,월 1회 미만,,체력 증진,시설 완비,미사용,10-30만 원
M299,30,F,부산 해운대구,0-1년,평일 저녁,친절한 지도,1:1,월 1회 미만,1승 1패,체력 증진,시설 완비,주 1회 미만,30만 원 이상
M300,29,M,강원 원주시,0-1년,주말 오전,엄격한 피드백,온라인,주 1회,,취미 유지,실내 코트,주 1회 미만,30만 원 이상
M301,27,F,대구 수성구,3-5년,주말 오전,엄격한 피드백,온라인,주 1회,0승 1패,취미 유지,야외 코트,매일,10만 원 미만
M302,25,F,서울 영등포구,0-1년,주말 오전,친절한 지도,온라인,월 1회 미만,1승 2패,취미 유지,실내 코트,미사용,10만 원 미만
M303,23,M,광주 북구,3-5년,평일 오전,친절한 지도,온라인,주 2회,3승 0패,실력 향상,미입력,매일,10만 원 미만
M304,34,M,강원 원주시,1-3년,평일 오후,미입력,온라인,주 1회,0승 2패,대회 준비,시설 완비,미사용,10-30만 원
M305,23,F,대구 달서구,3-5년,주말 오전,친절한 지도,그룹,주 1회,1승 3패,체력 증진,야외 코트,주 1회 미만,30만 원 이상
M306,28,M,대전 서구,3-5년,주말 오전,엄격한 피드백,온라인,주 2회,,실력 향상,접근성,매일,10만 원 미만
M307,41,F,경기 성남시,0-1년,평일 저녁,친절한 지도,1:1,월 1회 미만,3승 2패,체력 증진,접근성,매일,10만 원 미만
M308,18,M,부산 남구,1-3년,평일 오전,친절한 지도,1:1,주 1회,,취미 유지,시설 완비,매일,30만 원 이상
M309,27,M,서울 송파구,3-5년,주말 오전,동기부여 중심,온라인,주 2회,2승 1패,대회 준비,실내 코트,미사용,10만 원 미만
M310,30,F,서울 마포구,0-1년,평일 저녁,친절한 지도,그룹,주 1회,,대회 준비,시설 완비,주 1-2회,10만 원 미만
M311,36,M,서울 송파구,1-3년,평일 오전,친절한 지도,온라인,주 1회,3승 1패,체력 증진,야외 코트,매일,30만 원 이상
M312,32,F,광주 광산구,1-3년,평일 저녁,엄격한 피드백,온라인,월 1회 미만,1승 0패,취미 유지,실내 코트,주 1-2회,10만 원 미만
M313,34,F,대전 유성구,3-5년,주말 오전,동기부여 중심,온라인,월 1회 미만,1승 3패,취미 유지,접근성,미사용,10-30만 원
M314,37,F,대전 서구,3-5년,주말 오전,친절한 지도,그룹,주 1회,2승 0패,실력 향상,야외 코트,미사용,30만 원 이상
M315,39,F,서울 서초구,1-3년,주말 저녁,엄격한 피드백,온라인,월 2-3회,1승 1패,대회 준비,실내 코트,미사용,30만 원 이상
M316,33,M,대구 달서구,3-5년,평일 오전,미입력,1:1,월 1회 미만,,실력 향상,시설 완비,미사용,10-30만 원
M317,32,F,서울 서초구,3-5년,평일 오전,친절한 지도,그룹,월 2-3회,3승 0패,취미 유지,실내 코트,주 1-2회,10-30만 원
M318,22,M,인천 남동구,1-3년,평일 오전,엄격한 피드백,온라인,월 2-3회,3승 2패,체력 증진,시설 완비,미사용,10만 원 미만
M319,27,F,서울 서초구,1-3년,주말 오전,엄격한 피드백,그룹,주 2회,3승 1패,실력 향상,시설 완비,주 1회 미만,30만 원 이상
M320,19,M,부산 해운대구,5년 이상,주말 저녁,엄격한 피드백,그룹,주 1회,0승 0패,대회 준비,접근성,주 1-2회,10-30만 원
M321,55,F,서울 송파구,1-3년,평일 오전,엄격한 피드백,온라인,주 2회,,취미 유지,실내 코트,주 1-2회,10만 원 미만
M322,57,M,서울 마포구,3-5년,주말 저녁,엄격한 피드백,그룹,월 1회 미만,,체력 증진,야외 코트,매일,30만 원 이상
M323,47,F,부산 수영구,5년 이상,평일 저녁,엄격한 피드백,온라인,주 1회,2승 2패,체력 증진,미입력,매일,10만 원 미만
M324,29,M,인천 남동구,1-3년,평일 저녁,동기부여 중심,그룹,월 1회 미만,2승 2패,취미 유지,야외 코트,주 1회 미만,10만 원 미만
M325,35,F,서울 송파구,0-1년,평일 저녁,미입력,온라인,주 2회,0승 1패,체력 증진,실내 코트,주 1회 미만,30만 원 이상
M326,31,M,서울 송파구,5년 이상,주말 저녁,엄격한 피드백,온라인,주 1회,,취미 유지,실내 코트,미사용,10-30만 원
M327,21,M,서울 강남구,0-1년,평일 저녁,친절한 지도,1:1,주 1회,,체력 증진,실내 코트,주 1회 미만,30만 원 이상
M328,25,F,서울 마포구,1-3년,평일 오전,엄격한 피드백,온라인,주 2회,2승 0패,취미 유지,미입력,주 1회 미만,10만 원 미만
M329,25,M,대전 유성구,5년 이상,주말 저녁,친절한 지도,1:1,월 1회 미만,1승 1패,실력 향상,실내 코트,주 1-2회,10-30만 원
M330,35,M,경기 성남시,0-1년,평일 저녁,친절한 지도,1:1,월 2-3회,1승 2패,체력 증진,접근성,매일,10-30만 원
M331,45,M,서울 영등포구,0-1년,주말 저녁,친절한 지도,온라인,월 1회 미만,,대회 준비,실내 코트,미사용,30만 원 이상
M332,35,F,경기 성남시,1-3년,주말 오전,친절한 지도,그룹,주 1회,,실력 향상,시설 완비,매일,30만 원 이상
