회원ID,나이,성별,거주지,테니스_경험_연수,주_이용_시간대,선호_코치_스타일,선호_레슨_방식,경기_빈도,최근_경기_성적,선호_훈련_목표,선호_테니스_센터_유형,모바일_앱_사용_빈도,소비_성향
M333,34,M,서울 송파구,0-1년,평일 오전,엄격한 피드백,그룹,주 1회,0승 2패,대회 준비,야외 코트,미사용,10-30만 원
M334,36,F,경기 성남시,1-3년,평일 저녁,엄격한 피드백,1:1,주 1회,0승 0패,체력 증진,접근성,미사용,30만 원 이상
M335,18,M,부산 수영구,3-5년,주말 저녁,미입력,그룹,주 1회,1승 2패,체력 증진,실내 코트,주 1-2회,10-30만 원
M336,27,M,대전 서구,0-1년,평일 오후,엄격한 피드백,온라인,월 2-3회,0승 3패,취미 유지,미입력,미사용,10만 원 미만
M337,39,F,인천 남동구,5년 이상,주말 저녁,미입력,온라인,주 2회,3승 0패,실력 향상,야외 코트,주 1-2회,30만 원 이상
M338,36,F,대구 수성구,0-1년,주말 오전,엄격한 피드백,1:1,주 1회,,취미 유지,실내 코트,미사용,10-30만 원
M339,18,M,대전 서구,3-5년,주말 오전,친절한 지도,그룹,월 1회 미만,,체력 증진,실내 코트,매일,10-30만 원
M340,38,F,서울 강남구,3-5년,평일 저녁,엄격한 피드백,온라인,주 1회,2승 0패,체력 증진,시설 완비,주 1-2회,30만 원 이상
M341,22,M,서울 영등포구,1-3년,주말 저녁,엄격한 피드백,온라인,월 2-3회,1승 0패,실력 향상,실내 코트,주 1-2회,30만 원 이상
M342,36,M,서울 서초구,5년 이상,평일 오전,동기부여 중심,1:1,월 2-3회,0승 1패,실력 향상,접근성,미사용,10-30만 원
M343,38,M,부산 해운대구,3-5년,주말 저녁,동기부여 중심,그룹,주 1회,1승 0패,취미 유지,실내 코트,주 1회 미만,10-30만 원
M344,33,M,인천 남동구,3-5년,평일 오후,친절한 지도,그룹,월 2-3회,2승 0패,대회 준비,야외 코트,주 1회 미만,10-30만 원
M345,33,F,서울 강남구,0-1년,주말 오전,친절한 지도,온라인,주 1회,0승 0패,실력 향상,시설 완비,미사용,10만 원 미만
M346,26,F,서울 마포구,0-1년,주말 오전,동기부여 중심,온라인,월 1회 미만,1승 2패,대회 준비,미입력,주 1회 미만,30만 원 이상
M347,44,F,대전 서구,1-3년,주말 오전,동기부여 중심,그룹,월 1회 미만,2승 0패,실력 향상,실내 코트,주 1회 미만,30만 원 이상
M348,23,F,서울 서초구,3-5년,평일 저녁,친절한 지도,그룹,주 2회,2승 2패,취미 유지,야외 코트,매일,30만 원 이상
M349,35,F,부산 남구,3-5년,평일 저녁,친절한 지도,1:1,주 2회,1승 3패,대회 준비,접근성,매일,10-30만 원
M350,24,M,경기 용인시,3-5년,평일 오후,동기부여 중심,온라인,주 2회,2승 1패,체력 증진,실내 코트,매일,30만 원 이상
M351,43,M,서울 강남구,1-3년,평일 저녁,엄격한 피드백,그룹,월 2-3회,3승 3패,취미 유지,실내 코트,주 1-2회,10만 원 미만
M352,26,M,부산 수영구,1-3년,주말 저녁,엄격한 피드백,그룹,주 2회,,취미 유지,시설 완비,미사용,10-30만 원
M353,28,M,대구 수성구,1-3년,평일 오전,친절한 지도,1:1,주 1회,1승 3패,실력 향상,실내 코트,주 1회 미만,10만 원 미만
M354,18,M,경기 용인시,1-3년,평일 오전,친절한 지도,그룹,월 2-3회,,실력 향상,야외 코트,주 1-2회,30만 원 이상
M355,52,M,서울 송파구,3-5년,평일 오전,동기부여 중심,그룹,주 2회,2승 0패,대회 준비,실내 코트,주 1-2회,10만 원 미만
M356,18,F,부산 해운대구,5년 이상,평일 오전,친절한 지도,1:1,월 2-3회,2승 2패,취미 유지,야외 코트,주 1-2회,10-30만 원
M357,36,F,대구 수성구,0-1년,평일 저녁,동기부여 중심,1:1,월 1회 미만,2승 3패,체력 증진,실내 코트,주 1회 미만,10만 원 미만
M358,36,M,인천 연수구,3-5년,평일 오후,동기부여 중심,1:1,월 1회 미만,0승 2패,대회 준비,실내 코트,주 1회 미만,10만 원 미만
M359,44,F,경기 성남시,5년 이상,평일 저녁,엄격한 피드백,온라인,월 1회 미만,2승 3패,체력 증진,실내 코트,매일,30만 원 이상
M360,41,F,서울 마포구,1-3년,평일 오후,엄격한 피드백,그룹,월 1회 미만,1승 2패,체력 증진,시설 완비,주 1회 미만,10만 원 미만
M361,26,F,부산 남구,3-5년,주말 저녁,친절한 지도,온라인,월 2-3회,,대회 준비,실내 코트,매일,30만 원 이상
M362,30,M,서울 서초구,0-1년,평일 저녁,친절한 지도,1:1,월 1회 미만,3승 1패,실력 향상,시설 완비,주 1-2회,30만 원 이상
M363,33,M,대구 수성구,1-3년,주말 오전,엄격한 피드백,1:1,주 2회,,취미 유지,야외 코트,미사용,30만 원 이상
M364,36,F,인천 연수구,5년 이상,주말 오전,엄격한 피드백,온라인,월 2-3회,,취미 유지,실내 코트,미사용,10만 원 미만
M365,26,M,대구 달서구,0-1년,주말 오전,친절한 지도,그룹,주 2회,3승 1패,체력 증진,야외 코트,매일,10-30만 원
M366,29,M,광주 광산구,3-5년,평일 저녁,엄격한 피드백,온라인,월 2-3회,,대회 준비,실내 코트,주 1회 미만,10만 원 미만
M367,36,F,경기 성남시,0-1년,주말 저녁,친절한 지도,온라인,월 1회 미만,2승 0패,체력 증진,실내 코트,매일,10만 원 미만
M368,22,F,서울 서초구,5년 이상,평일 오후,동기부여 중심,온라인,주 1회,3승 1패,실력 향상,시설 완비,주 1-2회,30만 원 이상
M369,18,M,대전 유성구,5년 이상,평일 오전,동기부여 중심,1:1,주 2회,2승 0패,실력 향상,시설 완비,주 1회 미만,10-30만 원
M370,27,F,대구 수성구,1-3년,주말 저녁,엄격한 피드백,온라인,월 2-3회,,취미 유지,야외 코트,주 1회 미만,10만 원 미만
M371,23,M,서울 송파구,1-3년,주말 오전,친절한 지도,1:1,월 1회 미만,1승 3패,체력 증진,시설 완비,주 1-2회,10만 원 미만
M372,41,F,서울 강남구,1-3년,평일 오후,미입력,그룹,주 1회,3승 2패,대회 준비,접근성,주 1회 미만,30만 원 이상
M373,24,M,대전 유성구,1-3년,주말 오전,친절한 지도,온라인,월 2-3회,1승 2패,체력 증진,실내 코트,주 1회 미만,10만 원 미만
M374,18,M,서울 송파구,5년 이상,주말 저녁,친절한 지도,그룹,월 2-3회,0승 1패,체력 증진,시설 완비,미사용,10-30만 원
M375,29,M,경기 용인시,1-3년,평일 저녁,친절한 지도,온라인,월 2-3회,,취미 유지,접근성,주 1회 미만,10-30만 원
M376,24,M,인천 연수구,0-1년,평일 오전,엄격한 피드백,온라인,월 1회 미만,0승 1패,취미 유지,야외 코트,매일,10만 원 미만
M377,18,M,인천 연수구,0-1년,주말 오전,미입력,온라인,월 1회 미만,3승 0패,실력 향상,야외 코트,주 1-2회,30만 원 이상
M378,33,F,경기 성남시,5년 이상,평일 저녁,동기부여 중심,온라인,월 1회 미만,1승 1패,대회 준비,야외 코트,미사용,10만 원 미만
M379,26,M,서울 서초구,3-5년,평일 오전,동기부여 중심,그룹,월 2-3회,1승 2패,대회 준비,시설 완비,주 1회 미만,30만 원 이상
M380,18,F,대구 달서구,3-5년,평일 오전,엄격한 피드백,그룹,월 2-3회,1승 3패,취미 유지,야외 코트,주 1회 미만,10-30만 원
M381,20,M,서울 마포구,0-1년,평일 오전,엄격한 피드백,온라인,주 1회,,취미 유지,시설 완비,주 1-2회,10-30만 원
M382,53,M,경기 성남시,5년 이상,주말 오전,친절한 지도,온라인,주 2회,,체력 증진,시설 완비,매일,10만 원 미만
M383,32,F,인천 연수구,3-5년,주말 오전,동기부여 중심,그룹,주 2회,0승 2패,취미 유지,실내 코트,주 1-2회,10-30만 원
M384,18,M,서울 영등포구,0-1년,주말 오전,친절한 지도,그룹,주 1회,3승 3패,실력 향상,미입력,미사용,30만 원 이상
M385,25,F,서울 강남구,1-3년,평일 오후,엄격한 피드백,온라인,주 1회,,대회 준비,실내 코트,주 1-2회,30만 원 이상
M386,31,M,서울 마포구,3-5년,평일 저녁,미입력,1:1,월 1회 미만,,실력 향상,미입력,미사용,10만 원 미만
M387,18,F,서울 송파구,3-5년,주말 오전,미입력,1:1,월 2-3회,,체력 증진,접근성,주 1회 미만,10만 원 미만
M388,27,M,서울 서초구,3-5년,평일 오후,엄격한 피드백,1:1,월 1회 미만,3승 0패,취미 유지,미입력,매일,30만 원 이상
M389,26,기타,부산 해운대구,5년 이상,평일 오전,친절한 지도,1:1,월 1회 미만,0승 0패,취미 유지,시설 완비,주 1-2회,30만 원 이상
M390,40,M,대전 유성구,5년 이상,평일 저녁,친절한 지도,그룹,주 2회,3승 2패,대회 준비,실내 코트,주 1회 미만,10-30만 원
M391,19,F,경기 성남시,0-1년,평일 저녁,엄격한 피드백,그룹,월 2-3회,2승 0패,실력 향상,실내 코트,매일,30만 원 이상
M392,45,M,경기 용인시,3-5년,주말 저녁,친절한 지도,1:1,월 1회 미만,0승 2패,체력 증진,실내 코트,주 1-2회,10만 원 미만
M393,18,F,서울 마포구,5년 이상,평일 오후,엄격한 피드백,온라인,월 1회 미만,,대회 준비,야외 코트,주 1회 미만,10만 원 미만
M394,37,F,부산 해운대구,5년 이상,주말 저녁,친절한 지도,그룹,월 1회 미만,0승 3패,취미 유지,실내 코트,주 1-2회,10만 원 미만
M395,18,F,서울 마포구,0-1년,평일 오전,친절한 지도,온라인,월 2-3회,,체력 증진,시설 완비,미사용,30만 원 이상
M396,25,F,서울 송파구,3-5년,평일 오전,동기부여 중심,그룹,월 2-3회,2승 0패,실력 향상,실내 코트,주 1회 미만,30만 원 이상
M397,26,M,대구 수성구,0-1년,평일 오전,친절한 지도,1:1,월 2-3회,2승 3패,대회 준비,접근성,매일,30만 원 이상
M398,37,M,서울 서초구,1-3년,평일 오전,동기부여 중심,1:1,월 1회 미만,2승 1패,실력 향상,접근성,미사용,10만 원 미만
M399,33,M,서울 영등포구,5년 이상,주말 저녁,친절한 지도,그룹,주 1회,1승 2패,체력 증진,야외 코트,매일,10만 원 미만
M400,27,F,서울 강남구,1-3년,주말 저녁,친절한 지도,온라인,월 1회 미만,2승 1패,취미 유지,야외 코트,매일,30만 원 이상
M401,28,F,인천 연수구,5년 이상,주말 오전,엄격한 피드백,온라인,주 1회,,체력 증진,시설 완비,주 1-2회,10-30만 원
M402,18,M,광주 북구,3-5년,평일 오후,친절한 지도,그룹,주 2회,3승 0패,대회 준비,실내 코트,주 1-2회,30만 원 이상
M403,27,M,인천 남동구,5년 이상,주말 저녁,친절한 지도,온라인,주 2회,1승 1패,체력 증진,미입력,매일,10-30만 원
M404,32,M,제주 서귀포시,0-1년,주말 저녁,미입력,그룹,주 1회,2승 2패,실력 향상,실내 코트,미사용,10만 원 미만
M405,42,F,서울 마포구,3-5년,평일 오후,친절한 지도,1:1,월 2-3회,,대회 준비,야외 코트,미사용,10만 원 미만
M406,36,F,경기 성남시,5년 이상,평일 저녁,엄격한 피드백,온라인,월 1회 미만,2승 2패,실력 향상,미입력,매일,10만 원 미만
M407,39,F,서울 영등포구,3-5년,주말 오전,엄격한 피드백,1:1,월 2-3회,2승 1패,체력 증진,미입력,미사용,30만 원 이상
M408,25,F,부산 해운대구,3-5년,평일 저녁,엄격한 피드백,온라인,월 2-3회,0승 3패,실력 향상,야외 코트,매일,10-30만 원
M409,23,M,광주 북구,5년 이상,평일 오전,엄격한 피드백,온라인,주 1회,3승 2패,대회 준비,실내 코트,주 1-2회,10-30만 원
M410,33,F,부산 수영구,3-5년,평일 저녁,엄격한 피드백,1:1,주 1회,1승 1패,실력 향상,실내 코트,미사용,30만 원 이상
M411,18,M,서울 송파구,3-5년,주말 저녁,엄격한 피드백,1:1,월 1회 미만,,실력 향상,접근성,주 1회 미만,10만 원 미만
M412,18,M,인천 연수구,5년 이상,주말 저녁,친절한 지도,그룹,주 2회,2승 2패,실력 향상,야외 코트,주 1-2회,10만 원 미만
M413,31,M,서울 서초구,5년 이상,평일 오후,친절한 지도,온라인,월 1회 미만,,취미 유지,실내 코트,매일,30만 원 이상
M414,28,F,경기 성남시,3-5년,평일 오후,엄격한 피드백,온라인,주 1회,,체력 증진,미입력,미사용,30만 원 이상
M415,30,F,인천 남동구,0-1년,평일 저녁,친절한 지도,1:1,주 2회,,체력 증진,미입력,매일,10만 원 미만
M416,18,M,서울 마포구,5년 이상,주말 저녁,친절한 지도,그룹,주 2회,,체력 증진,실내 코트,주 1회 미만,10-30만 원
M417,28,M,서울 마포구,3-5년,평일 오후,엄격한 피드백,온라인,월 1회 미만,,체력 증진,접근성,주 1-2회,10만 원 미만
M418,29,M,광주 광산구,5년 이상,평일 저녁,엄격한 피드백,그룹,주 1회,,체력 증진,실내 코트,미사용,30만 원 이상
M419,22,F,경기 성남시,0-1년,평일 저녁,미입력,그룹,월 2-3회,0승 3패,실력 향상,야외 코트,주 1-2회,10만 원 미만
M420,20,F,대구 수성구,5년 이상,주말 저녁,친절한 지도,온라인,월 1회 미만,,대회 준비,야외 코트,주 1-2회,10-30만 원
M421,18,M,서울 송파구,5년 이상,주말 오전,동기부여 중심,1:1,주 2회,2승 1패,실력 향상,시설 완비,매일,30만 원 이상
M422,31,F,부산 해운대구,0-1년,평일 오전,친절한 지도,그룹,월 2-3회,,체력 증진,시설 완비,매일,10만 원 미만
M423,36,F,광주 북구,0-1년,평일 오전,친절한 지도,1:1,주 1회,0승 3패,체력 증진,시설 완비,주 1회 미만,10만 원 미만
M424,34,M,대구 달서구,0-1년,평일 오후,친절한 지도,그룹,월 2-3회,2승 3패,실력 향상,시설 완비,주 1-2회,30만 원 이상
M425,34,F,인천 연수구,5년 이상,주말 저녁,동기부여 중심,1:1,월 1회 미만,,체력 증진,시설 완비,주 1-2회,30만 원 이상
M426,31,F,서울 영등포구,1-3년,평일 오전,엄격한 피드백,그룹,월 2-3회,,실력 향상,접근성,주 1회 미만,10만 원 미만
M427,31,M,부산 해운대구,0-1년,평일 오전,동기부여 중심,1:1,주 2회,,실력 향상,미입력,주 1회 미만,10-30만 원
M428,23,F,인천 연수구,5년 이상,주말 저녁,엄격한 피드백,1:1,주 2회,2승 1패,취미 유지,시설 완비,매일,10만 원 미만
M429,51,M,경기 성남시,3-5년,평일 저녁,친절한 지도,온라인,주 2회,1승 2패,취미 유지,실내 코트,주 1회 미만,10-30만 원
M430,27,기타,서울 강남구,0-1년,주말 오전,친절한 지도,그룹,월 2-3회,,취미 유지,미입력,주 1-2회,30만 원 이상
M431,35,F,서울 강남구,0-1년,평일 오후,엄격한 피드백,온라인,월 2-3회,1승 3패,실력 향상,실내 코트,주 1-2회,10만 원 미만
M432,21,M,광주 북구,3-5년,평일 오전,엄격한 피드백,1:1,월 1회 미만,,대회 준비,시설 완비,주 1회 미만,10-30만 원
M433,32,F,서울 강남구,3-5년,평일 오전,친절한 지도,1:1,주 1회,,체력 증진,실내 코트,매일,30만 원 이상
M434,18,F,부산 수영구,1-3년,평일 저녁,엄격한 피드백,그룹,주 2회,1승 3패,실력 향상,시설 완비,주 1회 미만,10-30만 원
M435,41,F,광주 북구,5년 이상,평일 오전,친절한 지도,온라인,월 2-3회,1승 0패,취미 유지,시설 완비,주 1회 미만,10만 원 미만
M436,32,F,대구 달서구,3-5년,평일 저녁,동기부여 중심,그룹,월 2-3회,2승 0패,취미 유지,시설 완비,매일,10만 원 미만
M437,18,M,서울 강남구,0-1년,평일 오후,엄격한 피드백,그룹,월 1회 미만,2승 0패,체력 증진,시설 완비,주 1-2회,10-30만 원
M438,18,M,부산 해운대구,3-5년,주말 저녁,엄격한 피드백,그룹,주 1회,2승 3패,대회 준비,실내 코트,주 1회 미만,10-30만 원
M439,33,M,대전 유성구,0-1년,주말 저녁,엄격한 피드백,그룹,주 2회,3승 3패,대회 준비,실내 코트,주 1회 미만,10-30만 원
M440,22,M,부산 남구,5년 이상,평일 저녁,친절한 지도,그룹,월 2-3회,0승 3패,실력 향상,야외 코트,주 1-2회,10-30만 원
M441,41,M,대전 유성구,0-1년,평일 저녁,친절한 지도,그룹,주 1회,0승 1패,대회 준비,미입력,주 1-2회,30만 원 이상
M442,18,F,대전 서구,1-3년,평일 오전,엄격한 피드백,1:1,주 2회,,체력 증진,실내 코트,미사용,30만 원 이상
M443,18,F,부산 해운대구,0-1년,평일 저녁,엄격한 피드백,1:1,주 1회,1승 1패,대회 준비,시설 완비,매일,10만 원 미만
M444,35,M,부산 수영구,3-5년,평일 저녁,친절한 지도,그룹,주 2회,,취미 유지,시설 완비,주 1회 미만,10-30만 원
M445,32,F,부산 해운대구,0-1년,평일 저녁,동기부여 중심,온라인,월 2-3회,,취미 유지,접근성,미사용,10-30만 원
M446,23,M,대전 유성구,3-5년,주말 저녁,친절한 지도,1:1,월 1회 미만,0승 1패,대회 준비,실내 코트,미사용,10만 원 미만
M447,32,M,서울 마포구,0-1년,평일 저녁,친절한 지도,그룹,월 2-3회,0승 1패,대회 준비,야외 코트,주 1회 미만,10-30만 원
M448,49,M,서울 서초구,0-1년,평일 오전,엄격한 피드백,1:1,주 1회,3승 3패,체력 증진,실내 코트,주 1-2회,10-30만 원
M449,19,F,서울 송파구,1-3년,주말 저녁,엄격한 피드백,온라인,월 1회 미만,,대회 준비,접근성,매일,10-30만 원
M450,30,M,서울 마포구,5년 이상,평일 오후,엄격한 피드백,1:1,월 1회 미만,0승 2패,실력 향상,미입력,주 1회 미만,10-30만 원
M451,56,F,서울 마포구,1-3년,평일 오전,친절한 지도,그룹,주 2회,1승 0패,대회 준비,시설 완비,미사용,10-30만 원
M452,34,F,서울 송파구,5년 이상,평일 오후,미입력,그룹,월 2-3회,2승 3패,대회 준비,실내 코트,미사용,30만 원 이상
M453,25,F,서울 강남구,1-3년,주말 오전,동기부여 중심,1:1,주 2회,,실력 향상,접근성,주 1-2회,30만 원 이상
M454,35,M,서울 강남구,1-3년,평일 저녁,동기부여 중심,1:1,월 2-3회,3승 2패,체력 증진,접근성,매일,10만 원 미만
M455,18,F,경기 성남시,1-3년,평일 오후,엄격한 피드백,온라인,월 1회 미만,,실력 향상,실내 코트,주 1-2회,10-30만 원
M456,38,F,제주 서귀포시,5년 이상,평일 오후,엄격한 피드백,1:1,주 2회,2승 1패,실력 향상,미입력,주 1-2회,30만 원 이상
M457,18,F,대구 수성구,3-5년,주말 오전,친절한 지도,온라인,주 1회,2승 2패,대회 준비,접근성,매일,10만 원 미만
M458,29,F,부산 해운대구,0-1년,평일 오후,친절한 지도,그룹,월 2-3회,,체력 증진,미입력,매일,30만 원 이상
M459,18,M,부산 수영구,0-1년,평일 저녁,엄격한 피드백,그룹,월 1회 미만,3승 2패,대회 준비,접근성,미사용,10-30만 원
M460,36,F,서울 영등포구,3-5년,평일 오후,미입력,온라인,월 2-3회,0승 1패,체력 증진,야외 코트,미사용,10만 원 미만
M461,40,M,서울 강남구,0-1년,평일 오전,동기부여 중심,1:1,월 2-3회,2승 0패,체력 증진,실내 코트,매일,10만 원 미만
M462,22,M,광주 광산구,1-3년,평일 오후,동기부여 중심,그룹,주 2회,0승 1패,체력 증진,실내 코트,미사용,30만 원 이상
M463,26,F,부산 수영구,3-5년,주말 저녁,미입력,온라인,주 2회,,체력 증진,시설 완비,주 1회 미만,30만 원 이상
M464,30,F,대구 달서구,0-1년,주말 저녁,미입력,온라인,월 1회 미만,1승 3패,대회 준비,접근성,주 1회 미만,10만 원 미만
M465,24,F,서울 송파구,1-3년,평일 저녁,엄격한 피드백,1:1,주 2회,0승 0패,취미 유지,미입력,주 1회 미만,10-30만 원
M466,27,M,경기 성남시,5년 이상,평일 저녁,동기부여 중심,온라인,월 1회 미만,,실력 향상,시설 완비,주 1-2회,30만 원 이상
M467,18,F,인천 연수구,5년 이상,평일 오전,친절한 지도,그룹,월 2-3회,0승 0패,실력 향상,시설 완비,매일,30만 원 이상
M468,45,M,서울 마포구,3-5년,평일 오후,동기부여 중심,1:1,주 2회,2승 2패,대회 준비,야외 코트,주 1-2회,10-30만 원
M469,36,M,서울 송파구,0-1년,평일 오후,엄격한 피드백,1:1,월 2-3회,1승 2패,실력 향상,실내 코트,주 1회 미만,30만 원 이상
M470,22,F,대구 달서구,3-5년,주말 저녁,동기부여 중심,1:1,월 2-3회,3승 2패,체력 증진,야외 코트,주 1회 미만,10-30만 원
M471,32,M,대전 유성구,3-5년,주말 저녁,엄격한 피드백,1:1,주 1회,,대회 준비,시설 완비,주 1회 미만,10만 원 미만
M472,38,M,서울 송파구,1-3년,평일 오전,친절한 지도,1:1,월 1회 미만,,실력 향상,야외 코트,주 1-2회,10만 원 미만
M473,40,M,경기 용인시,5년 이상,주말 오전,동기부여 중심,온라인,월 2-3회,1승 0패,체력 증진,실내 코트,주 1회 미만,30만 원 이상
M474,34,F,부산 남구,0-1년,평일 오전,친절한 지도,그룹,주 1회,1승 3패,체력 증진,미입력,주 1회 미만,30만 원 이상
M475,37,M,서울 강남구,3-5년,평일 저녁,엄격한 피드백,1:1,월 1회 미만,1승 2패,실력 향상,시설 완비,주 1회 미만,10-30만 원
M476,44,M,서울 송파구,3-5년,평일 오전,미입력,그룹,주 2회,,대회 준비,야외 코트,미사용,30만 원 이상
M477,38,F,경기 성남시,0-1년,평일 오후,동기부여 중심,온라인,월 2-3회,2승 3패,취미 유지,시설 완비,주 1회 미만,10-30만 원
M478,44,M,경기 성남시,0-1년,평일 오전,엄격한 피드백,온라인,월 2-3회,,체력 증진,실내 코트,미사용,10만 원 미만
M479,48,F,서울 강남구,0-1년,평일 저녁,친절한 지도,1:1,월 1회 미만,,대회 준비,접근성,주 1-2회,10-30만 원
M480,34,M,경기 용인시,3-5년,주말 저녁,미입력,온라인,주 1회,1승 3패,체력 증진,실내 코트,미사용,30만 원 이상
M481,39,M,경기 성남시,5년 이상,주말 저녁,친절한 지도,그룹,월 2-3회,2승 1패,대회 준비,접근성,미사용,10-30만 원
M482,45,F,광주 북구,0-1년,주말 오전,동기부여 중심,온라인,주 1회,,실력 향상,접근성,주 1-2회,30만 원 이상
M483,37,F,부산 수영구,3-5년,주말 저녁,동기부여 중심,1:1,월 1회 미만,2승 2패,취미 유지,접근성,미사용,30만 원 이상
M484,47,M,경기 성남시,3-5년,평일 오전,동기부여 중심,온라인,주 2회,,취미 유지,야외 코트,주 1회 미만,10-30만 원
M485,25,F,경기 성남시,3-5년,평일 저녁,동기부여 중심,그룹,월 1회 미만,1승 0패,취미 유지,시설 완비,주 1회 미만,10-30만 원
M486,43,M,부산 해운대구,1-3년,주말 저녁,친절한 지도,그룹,주 2회,3승 2패,실력 향상,야외 코트,매일,10만 원 미만
M487,33,F,서울 영등포구,3-5년,주말 오전,동기부여 중심,온라인,월 2-3회,3승 1패,체력 증진,야외 코트,주 1회 미만,10만 원 미만
M488,28,M,경기 성남시,1-3년,평일 오전,친절한 지도,온라인,월 1회 미만,0승 3패,대회 준비,시설 완비,매일,10만 원 미만
M489,18,M,부산 남구,1-3년,주말 저녁,동기부여 중심,1:1,월 1회 미만,,대회 준비,실내 코트,미사용,30만 원 이상
M490,18,F,대구 달서구,3-5년,평일 오후,엄격한 피드백,그룹,주 1회,,실력 향상,실내 코트,매일,10만 원 미만
M491,18,M,광주 북구,0-1년,주말 오전,친절한 지도,1:1,월 2-3회,,대회 준비,야외 코트,주 1회 미만,10만 원 미만
M492,32,F,광주 북구,5년 이상,주말 오전,친절한 지도,1:1,주 2회,1승 1패,실력 향상,실내 코트,매일,10-30만 원
M493,21,F,부산 수영구,0-1년,평일 오전,친절한 지도,1:1,월 1회 미만,3승 2패,대회 준비,미입력,매일,10-30만 원
M494,24,M,서울 강남구,3-5년,주말 저녁,엄격한 피드백,1:1,주 2회,2승 0패,취미 유지,시설 완비,주 1-2회,30만 원 이상
M495,28,F,대구 수성구,3-5년,주말 저녁,친절한 지도,그룹,월 1회 미만,,실력 향상,실내 코트,미사용,10만 원 미만
M496,32,F,인천 연수구,1-3년,평일 저녁,친절한 지도,그룹,주 1회,3승 0패,취미 유지,야외 코트,미사용,30만 원 이상
M497,21,F,인천 남동구,3-5년,주말 오전,친절한 지도,온라인,주 1회,1승 1패,실력 향상,야외 코트,매일,30만 원 이상
M498,54,F,강원 원주시,1-3년,평일 저녁,엄격한 피드백,1:1,주 1회,3승 3패,실력 향상,시설 완비,미사용,30만 원 이상
